,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00003522,Гранит ДАРК Огнеоброботка,шт,NEFTEHIMIK
,00-00003523,Грунт,шт,
,00-00003524,Электрод монолит 3мм,пачка,
,00-00003525,Скотч Малярный  ASMACO SKOVICH 1sm 25mT[84],шт,
,00-00003526,Скотч Малярный ASMACO SKOVICH 2sm 25mT[84],шт,
,00-00003527,"Труба профиль 150х80х5,0х12000 Гост 8639-82 б/м ПМ",мт,
,00-00003528,Болт М13 + Гайка М13 Шайба м13 (Бру),кг,
,00-00003529,Ручной Пила 350мм,шт,
,00-00003530,Шпилька 1метр SHPELKA 16M [50],шт,
,00-00003531,Силикон пистолет Колбасный  (акфикс),шт,
,00-00003532,Дорожная сетка 20х20 5мм,шт,
,00-00003533,"Труба профиль 100х50х3,8 Гост 8639-82",п/м,
,00-00003534,Грунтовка 201 (местный) (1-шт ведро 15кг),кг,
,00-00003535,Сенсор Лед галоген,шт,
,00-00003536,Бочка галоген 24w,шт,
,00-00003537,"Лист Профнастиль 0,4мм*1250мм (7024)",мт,
,00-00003538,"Саморез по металу том сарик 4,8см   SAMAREZ TOM SARIQ 4.8/30 [25]",кг,
,00-00003539,Обогреватель Электрический KH-2000 (LIDER),шт,
,00-00003540,"Труба металический 426х8,0 (изоляция)",мт,
,00-00003541,Зарядка Батарейка BA225030 (6V-2500mAh) Пульта управления стационарного помпа,шт,
,00-00003542,Металические Кран 15 латун,шт,
,00-00003543,Угол В/Р 20*1/2,шт,
,00-00003544,Шаравой кран 20 V1,шт,
,00-00003545,Гранит Мароканд фаска 45 +баразда,м2,
,00-00003546,Гранит мароканд Плита фаска 45,м2,
,00-00003547,Жидкий травертин  №206 (местный),кг,
,00-00003548,Рейка 3х4,м,
,00-00003549,"Каменная вата SAMWOOL (0,216м3) тол10",м3,
,00-00003550,Пиломатериаль 100х100х4000,шт,
,00-00003551,Болт М8х60 Гайка м8 шайба м8,кг,
,00-00003552,Рекор американка В/Р 90,шт,
,00-00003553,Шлифовальная черепашки 1/2/3,шт,
,00-00003554,"Электрод арсеналь 2,0мм (пачка 2,5кг)",пачка,
,00-00003555,Автомат 1фазный 10А,шт,
,00-00003556,Ножница для ппр 110мм,шт,
,00-00003557,Тросс Сантехнический 5мт,шт,
,00-00003558,Сверло по дереву 22х500мм,шт,
,00-00003559,Сварочный держак  800А,шт,
,00-00003560,Швеллер 14,мт,
,00-00003561,Колодца для брусчаткый ,шт,
,00-00003562,Ром Термо Акфа 1550х1560,шт,
,00-00003563,Ром Термо Акфа 1550х1160,шт,
,00-00003564,"Пиломатериаль 50х200х6000мм (1-шт 0,06м3)",м3,
,00-00003565,"Пиломатериаль 100х100х4000мм (1-шт 0,04 м3)",м3,
,00-00003566,"Пиломатериаль 50х100х4000мм (1-шт 0,02м3)",м3,
,00-00003567,ПЕНОПЛЕКС ECO PLEX 4,шт,
,00-00003568,"Тройник диам 110/50, 45 коричневый",шт,
,00-00003569,Заглушка с резьбой диам 20мм,шт,
,00-00003570,Жидкий травертин цвет (202-1-8) (местный),кг,
,00-00003571,Ром Термо Акфа 2480х780,шт,
,00-00003572,Ром Термо Акфа 2480х1360,шт,
,00-00003573,Насадка головка  8мм,шт,
,00-00003574,Бензиновая цепная пила EPA,шт,
,00-00003575,Ремен 5813 СВ (спец тех),шт,
,00-00003576,Скрепка канцтоварный,шт,
,00-00003577,Наски,шт,
,00-00003578,"Пиломатериаль 25х100х6метр (1-шт 0,015 м3)",м3,
,00-00003579,"Пиломатериаль 23х100х4метр (1-шт 0,0092 м3)",м3,
,00-00003580,CX 1018 FUEL FILTER (XITOY),шт,
,00-00003581,Пульт для автозаправки,шт,
,00-00003582,Пистолет для автозаправки,шт,
,00-00003583,Шланг для автозаправки,шт,
,00-00003584,Весы электронный 300кг,шт,
,00-00003585,"Пленка белий SALAFAN OQ [50] 05/2M (1-мт 0,260кг) (1-кг 6мт)",кг,
,00-00003586,Жидкий травертин цвет (203-1-8) (местный),кг,
,00-00003587,Жидкий травертин цвет (203-9-2) (местный),кг,
,00-00003588,Жидкий травертин цвет (203-9-1) (местный),кг,
,00-00003589,Жидкий травертин цвет (203-902) (местный),кг,
,00-00003590,Терасный Доска,м2,
,00-00003591,Фильтр сетчатый для грубой очистки воды Ду-76 Ру-16,шт,
,00-00003592,Затвор 76мм (кран),шт,
,00-00003593,Прокладка ду76,шт,
,00-00003594,"Палец стоп (спец,техника)",шт,
,00-00003595,Масленный фильтр Oil Filter LF 9001 (спец тех),шт,
,00-00003596,Набор для Вудканизация,к-т,
,00-00003597,Лист 16х300х280,шт,
,00-00003598,Кувальда   AFIXS KVALDA 1000G [12],шт,
,00-00003599,Кувальда   AFIXS KVALDA 1250G [12],шт,
,00-00003600,Кувальда   AFIXS KVALDA 800G [12],шт,
,00-00003601,Комплект HOWO УД 30024 (Спец.техника),шт,
,00-00003602,Термостат 4W300 TD2268 (Спец.техника),шт,
,00-00003603,Датчик сенсор,шт,
,00-00003604,Воздушный клапан для вентиляции,шт,
,00-00003605,Аппарат для мойки ковров и брусчаток,шт,
,00-00003606,"Пиломатериаль 50х200х3000мм (1-шт 0,03 м3)",м3,
,00-00003607,"Пиломатериаль 70х200х6000мм (1-шт 0,084 м3)",м3,
,00-00003608,Хокондоз котта темир,шт,
,00-00003609,Анкерный болть м10х12х100  ANKER BOLT 10*12*100 ,шт,
,00-00003610,Ведро  QORA EMULSYA CHELAK [30],шт,
,00-00003611,Гель TALA 1кг,шт,
,00-00003612,Черенок TESHA SOP XTOY [100],шт,
,00-00003613,Инжектор комлект (спец.техника),шт,
,00-00003614,"Труба ЭсвПШ 57х3,5х10000мм ГОСТ 10704-91;10705-80 б/м",п/м,
,00-00003615,"Труба ЭсвПШ 76х3,5х10000мм ГОСТ 10704-91;10705-80 б/м",п/м,
,00-00003616,"Пиломатериаль 100х100х6000 мм (1-шт 0,06 м3)",м3,
,00-00003617,"Пиломатериаль 50х100х6000 мм (1-шт 0,03 м3)",м3,
,00-00003618,Наканечник 16мм,шт,
,00-00003619,Пускатель 95-11,шт,
,00-00003620,Тен 18kw,шт,
,00-00003621,Термостат 0-100*,шт,
,00-00003622,Клапан model:4V410-15,шт,
,00-00003623,Виброгрохот станок комплект кришкаси ,шт,
,00-00003624,Клей мастер Эмако s 488 (25kg),кг,
,00-00003625,"Кафельный никел T образный 2,5мм",шт,
,00-00003626,"Клинкер Угловой нержавейка 1см 2,5мм",шт,
,00-00003627,Гранит Мароканд 600 произвол,м2,
,00-00003628,Труба гладкая жесткая ПВХ 20мм (3мт),мт,
,00-00003629,Муфта из ПВХ 20мм,шт,
,00-00003630,Тройник из пвх 20мм,шт,
,00-00003631,Отвод из пвх 20мм,шт,
,00-00003632,"Насос APM150 1,1 квт Leo",шт,
,00-00003633,Губка 1000х2000,шт,
,00-00003634,Сварочный аппарат JASIC ARC400 380V,шт,
,00-00003635,Резба металический 89мм,шт,
,00-00003636,"Оцинкованный рулон с полимерным покрытием 9003WR*0,40",тн,
,00-00003637,Саморез по дереву  SAMAREZ OSTRE 100 [20],кг,
,00-00003638,Угольник уголок-линейка столярный 350мм,шт,
,00-00003639,Алмазный диск 115мм ,шт,
,00-00003640,Ром Термо Акфа 2180х870,шт,
,00-00003641,"Труба металический 25х3,5",мт,
,00-00003642,Соединитель лотка,шт,
,00-00003643,Кранштейн профиль для лотка,шт,
,00-00003644,Отвод сварной 25мм,шт,
,00-00003645,Расприд Вал (спец.техника),шт,
,00-00003646,Пилный диск  ARRA GERMA 110,шт,
,00-00003647,Противовес грохот ,шт,
,00-00003648,Хомут металлический 100-300мм зажим,шт,
,00-00003649,Соидинител кабель папа 16а,шт,
,00-00003650,Соидинител кабель мама 16а,шт,
,00-00003651,Соидинител кабель папа 32а,шт,
,00-00003652,Соидинител кабель мама 32а,шт,
,00-00003653,"Кабель ПВС 5х1,5",мт,
,00-00003654,Наконечник №35 мис ,шт,
,00-00003655,Наконечник №16 мис ,шт,
,00-00003656,Наконечник №10 мис ,шт,
,00-00003657,Наконечник №6 мис ,шт,
,00-00003658,Труба металический 89х9,м,
,00-00003659,Канистра пластиковая 20л,шт,
,00-00003660,Пена 60 секунд ASMACO PENA 60 SEKUND,шт,
,00-00003661,Отбойник перфоратор Epa SRD,шт,
,00-00003662,Гильза 16,шт,
,00-00003663,Гильза 10,шт,
,00-00003664,Гильза 6,шт,
,00-00003665,Термоусадочная трубка 35мм,м,
,00-00003666,Термоусадочная трубка 16мм,м,
,00-00003667,Термоусадочная трубка ,м,
,00-00003668,Светильники ВЫХОД-EXIT,шт,
,00-00003669,Вода эмульсия чёрний (местный),кг,
,00-00003670,Светельник Т8 90с 30w,шт,
,00-00003671,Светельник Т8 120с 40w,шт,
,00-00003672,Светельник Т12 90с 40w,шт,
,00-00003673,Светельник Т12 120с 60w,шт,
,00-00003674,Светельник Т12 90с 60w,шт,
,00-00003675,Светельник Т12 120с 80w,шт,
,00-00003676,Бочка галоген 18w,шт,
,00-00003677,Бочка галоген 30w,шт,
,00-00003678,Кабель КВВГ 7х1,м,
,00-00003679,"Разъемы плоские изолированные (папа) РПИ-П
",шт,
,00-00003680,"Разъемы плоские изолированные (мама) РПИ-П
",шт,
,00-00003681,Песок ,м3,
,00-00003682,Барабан для дробилки СМД-109 L80 (спец.техника),шт,
,00-00003683,Кислородный шланг м8,мт,
,00-00003684,Труба из ППР PN-20 ГВС диам 63,м,
,00-00003685,Газ шланг 20мм,м,
,00-00003686,Смеситель гигиенический (DOOU-BOOU),шт,
,00-00003687,Стоп двер,шт,
,00-00003688,Потрубки (спец-техника),шт,
,00-00003689,Тен 40 380kw,шт,
,00-00003690,"Фанер 1,5х1250х2500мм",шт,
,00-00003691,Гидроизоляция (Полизол),м2,
,00-00003692,Слив,м,
,00-00003693,Мяхкий кропик,м2,
,00-00003694,Фартук для ванна,шт,
,00-00003695,"Фасадный влага стойки  Гипсокартон 1200х2400х12,5 (GLASSMAT)",шт,
,00-00003697,Тройник переходник диам 32-20-32,шт,
,00-00003698,Переходник диам 40-32,шт,
,00-00003699,Переходник диам 50-40,шт,
,00-00003700,"Труба канализационая 50мм 0,5м",шт,
,00-00003701,Подшивник 5012 9kf (спец.техника),шт,
,00-00003702,Газ шланг 15мм,шт,
,00-00003703,Тройник 15мм,шт,
,00-00003704,Стобик 1000,шт,
,00-00003705,Реле напряжения в розетку,шт,
,00-00003706,Мойка (черный),шт,
,00-00003707,Резба переход 25,шт,
,00-00003708,"Шлифмашина , для бетона, диаметр диска 210мм, 1000Вт, регулировка частоты",шт,
,00-00003709,Ром Термо Акфа 2480х1560 (пвх),шт,
,00-00003710,Отвод металический 426х8 бесшовный ,шт,
,00-00003711,Полуотвод металический 426х8 бесшовный ,шт,
,00-00003712,Флянец металический 426х8 ,шт,
,00-00003713,Резина 5м,кг,
,00-00003714,Задвижка 426мм,шт,
,00-00003715,Щит ВРУ-1 (вводно-распределительное устройство),шт,
,00-00003716,Нож для гибичний станок круглий,шт,
,00-00003717,Нож для гибичний станок квадратний,шт,
,00-00003718,Услуга доставка,шт,
,00-00003719,Планка,шт,
,00-00003720,Вода эмульсия внутренняя  Чёрный (местный),кг,
,00-00003721,Механический переключатель передач Кулица,шт,
,00-00003722,Полуотвод из ппр 25мм,шт,
,00-00003723,Заглушка из ппр Резьбой 20мм,шт,
,00-00003724,Труба из ппр PN-16 ХВС диам 90,метр,
,00-00003725,Шаровой кран 40 V1,шт,
,00-00003726,Анкерный болть 8х10х60 [600],шт,
,00-00003727,Аккумуляторный Гайковерт Epa EAG 20V,шт,
,00-00003728,Базальтовая вата 1200*600*100-120 KG/М3 п3,м3,
,00-00003729,Базальтовая вата 1200*600*50-120 KG/М3 п6,м3,
,00-00003730,HW 145 насос (спец.техника),шт,
,00-00003731,Стабилизатор латорный трехфазный 180 кВа (140-285В) Альфа,шт,
,00-00003732,Стабилизатор латорный трехфазный 250 кВа (140-285В) Альфа,шт,
,00-00003733,Стабилизатор латорный трехфазный 300 кВа (140-285В) Альфа,шт,
,00-00003734,Лист оцинковка мокрый осфаль 04х1250мм (7024),мт,
,00-00003735,"Труба профиль 40х20х2,5х12000 Гост 8639-82",метр,
,00-00003736,"Труба профиль 100х100х4,0х12000 Гост 8639-82",метр,
,00-00003737,"Труба профиль 100х60х3,0х10000 Гост 8639-82",метр,
,00-00003738,"Труба профиль 100х50х3,0х12000 Гост 8639-82",метр,
,00-00003739,Бетонный Блок ФБС-9 (880*400*600),шт,
,00-00003740,Бетонный Блок ФБС-24 (880*400*600),шт,
,00-00003741,"Труба профиль 60х40х1,7х10000 Гост 8639-82",метр,
,00-00003742,Решетки на водоотводные лотки,метр,
,00-00003743,"Шруповерт MAKUTI 0,8х10",шт,
,00-00003744,Санга м10 порох,шт,
,00-00003745,Ротбанд (местный) (аваз),тн,
,00-00003746,Ниппельное соединение в системе вентиляции ø100 (оцинкованный),шт,
,00-00003747,"Труба металический 530х8,0 (1-мт 103,15кг)",мт,
,00-00003748,Профиль для светильник,шт,
,00-00003749,Сопло на пожарный,шт,
,00-00003750,Крепление для солнечных панелей,шт,
,00-00003751,Адаптер с резбой 20мм н/р,шт,
,00-00003752,Вода эмульсия внутренняя 1111 (местный),кг,
,00-00003753,Вода эмульсия внутренняя  111 (местный),кг,
,00-00003754,Вода эмульсия внутренняя  707 (местный),кг,
,00-00003755,Кислород заправка,шт,
,00-00003756,Камера видеонаблюдения Hikvision DS-2CD1343G2-LIU,шт,
,00-00003757,Камера видеонаблюдения Hikvision DS-2CD1047G2-LIU,шт,
,00-00003758,Отвод для воздуховода оцинкованный 100 мм,шт,
,00-00003759,Плоский парапет  (свет 7024) 400×600х400 L4000мм,п/м,
,00-00003760,Жидкий травертин цвет (202-901) (местный),кг,
,00-00003761,Лед лампа фасат 20w 4000k,шт,
,00-00003762,Закладной лист 5х200х250,шт,
,00-00003763,Закладной лист 5х150х250,шт,
,00-00003764,Отвод из пвх 50мм,шт,
,00-00003765,"Тройник диам 110/110, 45 коричневый",шт,
,00-00003766,Thermotech XPS.5см (Пеноплекс аналог),шт,
,00-00003767,ПЕНОПЛЕКС ECO PLEX 5,шт,
,00-00003768,Жидкий травертин цвет (203-14-1) (местный),кг,
,00-00003769,Жидкий травертин цвет (202-14-1) (местный),кг,
,00-00003770,Фасадный лак 204 (местный),кг,
,00-00003771,Найза бур 12мм,шт,
,00-00003772,Краска красный ZZZAKAS KRASKA 20KG QIZIL [1],литр,
,00-00003773,Металлоконструкции,к-т,
,00-00003774,Жидкий травертин цвет (206) (местный),кг,
,00-00003775,Швеллер-закладка 3050мм,шт,
,00-00003776,Масляный насос НШ 10-Г-3 (спец.техника),шт,
,00-00003777,Скорс насос (спец.техника),шт,
,00-00003778,Проволок кемпи,шт,
,00-00003779,Коронка милк (спец.техника),шт,
,00-00003780,"Пожарний сигнализация поп 124-R3 (светозвуковой, адресный, бело-красный",шт,
,00-00003781,"Профнастил МП17 0,37-1015 (1-шт 2,875м2)",м2,
,00-00003782,Занжир тросс,шт,
,00-00003783,Лоток кранштейн,шт,
,00-00003784,"резба,сверло,болт (спец.техника)",к-т,
,00-00003785,Балон шина АШ 385/65R22.5 S696 (универсал) SAILUN,шт,
,00-00003786,Каролевский кресло,шт,
,00-00003787,Каролевский стол,шт,
,00-00003788,Анкерный болть м12х60  ANKER BOLT 12/60 [320],шт,
,00-00003789,Каронка стеновой 102-450 ,шт,
,00-00003790,Адаптер-муфта комбин внутринный  20 1*2,шт,
,00-00003791,Адаптер-муфта комбин наружный   20 1*2,шт,
,00-00003792,"мембрана ТРО 1.1мм 2.64м х30,5 (1-шт 80,52м2)",м2,
,00-00003793,Ручной листогиб для производства профнастила ЛСП2000,шт,
,00-00003794,Ручной листогиб резак для производства профнастила ЛСП2000,шт,
,00-00003795,Лак TIGER,шт,
,00-00003796,Коронка по металу 32,шт,
,00-00003797,Перфоратор электрический (VBN) VHD2801,шт,
,00-00003798,"Щит линейный ((3,0) 1,2х3,000",шт,
,00-00003799,"Щит линейный ((3,0) 0,95х3,000",шт,
,00-00003800,"Щит линейный ((3,0) 0,8х3,000",шт,
,00-00003801,"Щит линейный ((3,0) 0,65х3,000",шт,
,00-00003802,"Щит линейный ((3,0) 0,55х3,000",шт,
,00-00003803,"Щит линейный ((3,0) 0,50х3,000",шт,
,00-00003804,"Щит линейный ((3,0) 0,30х3,000",шт,
,00-00003805,Шайба 120х120х5,шт,
,00-00003806,"Крестовина х-образный (1,5х1,8х2,0м). D33,5х2мм  (Опалубка)",шт,
,00-00003807,Замок Универсальный,шт,
,00-00003808,Гайка для стяжки винта трехножковый ,шт,
,00-00003809,Захват монтажный Рябина,шт,
,00-00003810,Анкер торцевой,шт,
,00-00003811,Винтовой прокат д15=1000,шт,
,00-00003812,Подкос винтовой двухуровневый,шт,
,00-00003813,"Ремная стойка (1,5*2,0), D60*3,0мм",шт,
,00-00003814,"Балка деревянная двутавровая для опалубки 2,5м",шт,
,00-00003815,"Балка деревянная двутавровая для опалубки 3,0м",шт,
,00-00003816,"Балка деревянная двутавровая для опалубки 3,6м",шт,
,00-00003817,Труба гофрированная ID =600мм L6000 SN8,п/м,
,00-00003818,Промышленный вентилятор двигатель из чистой меди безопасен и долговечен,шт,
,00-00003819,Фасадный лехкий клей (местный),кг,
,00-00003820,Краска для печать (печат у-н ранг 2х1,шт,
,00-00003821,Масла ADBLUE SINTEC 20L (РОССИЯ),литр,
,00-00003822,"Труба профиль 120х80х3,0х12000 Гост 8639-82",п/м,
,00-00003823,"Труба профиль 150х150х4,0х12000 Гост 8639-82",п/м,
,00-00003824,Тройник диам 100 металический,шт,
,00-00003825,Затвор 100мм (кран),шт,
,00-00003826,Переходник металический 76х50,шт,
,00-00003827,Шаровой кран 15,шт,
,00-00003828,Кабель ПВЗ 1-10мм2,мт,
,00-00003829,Кабель ПВЗ 1-16мм2,мт,
,00-00003830,Паяльного аппарата 100w,шт,
,00-00003831,Индикатор,шт,
,00-00003832,Пластмас пропка CHUPIK,шт,
,00-00003833,Ешик стоп,шт,
,00-00003834,Краска темно синий ZZZAKAS KRASKA TO'Q KO'K 20KG  [1],литр,
,00-00003835,Сталной фт (спец.техника),шт,
,00-00003836,Чугунный фт (спец.техника),шт,
,00-00003837,Колокоп гайка (спец.техника),шт,
,00-00003838,"Гидроизоляция Gidrofleks ТПП 3,7мм (Полизол)",рулон,
,00-00003839,"Гидроизоляция Gidrofleks ТПП 4,0мм (Полизол)",рулон,
,00-00003840,Непл д300,шт,
,00-00003841,BUCHEN FUGA (112 1) ,кг,
,00-00003842,Скотч Малярный ASMACO SKOVICH 5sm 25mT[84],шт,
,00-00003843,Цемент м450+,тн,
,00-00003844,Кранштейн метал 700мм,шт,
,00-00003845,Кранштейн метал 800мм,шт,
,00-00003846,"Соидинител для Т1,2",шт,
,00-00003847,Шаровой кран 63 ЕСО,шт,
,00-00003848,Краска аэрозоль цвет серий  AYRAZOL SERI [12],шт,
,00-00003849,"Кабель ПВС 2х0,75мм2",метр,
,00-00000718,Лед подсветка (Шланг),метр,
,00-00003850,Поплавок д20,шт,
,00-00003851,Шина соединительная 1P 63А,шт,
,00-00003852,Клеммы аккумуляторные ,шт,
,00-00003853,"Щит линейный ((3,0) 0,7х3,000",шт,
,00-00003854,"Щит линейный ((3,0) 0,6х3,000",шт,
,00-00003855,"Щит угловой внутренний 0,25х0,3х3м (опалубка)",шт,
,00-00003856,"Щит угловой внутренний 0,3х0,25х3м (опалубка)",шт,
,00-00003857,"Балка выравнивающая 1,5м",шт,
,00-00003858,Кронштейн подмостей Рябина,шт,
,00-00003859,Циркуляционный насос SR-8-180,шт,
,00-00003860,Анкерный болть м10х40  ANKER BOLT 10*40,шт,
,00-00003861,"ABP-25A (ЩАП-23М), 1шт",шт,
,00-00003862,"ABP-100A (ЩАП-33М), 1шт",шт,
,00-00003863,ЩС,шт,
,00-00003864,ЩР,шт,
,00-00003865,ЩАО-1,шт,
,00-00003866,ЩО,шт,
,00-00003867,ЩН,шт,
,00-00003868,ЩВ,шт,
,00-00003869,Краншитен,шт,
,00-00003870,"Гидроизоляция Berk Membrane ТПП 4,0мм (Полизол) 1-рулон 10м2",рулон,
,00-00003871,Стульчик 50 (500 шт 8-28мм) панда фиксатор,шт,
,00-00003872,"Большая монтировка 910мм №687910 ""FORCE""",шт,
,00-00003873,"Большая согнутая монтировка 910мм №687910А ""FORCE""",шт,
,00-00003874,"Ключ накидной ударный 55мм L=270мм №79355 ""FORCE""",шт,
,00-00003875,Труба 102х4 L100 ст3-сп5 э/с,п/м,
,00-00003876,Коронка алмазный для кафеля 35,шт,
,00-00003877,Бучен Фуга ок,кг,
,00-00003878,Бучен Фуга серий,кг,
,00-00003879,Бучен фуга серий 1кг,кг,
,00-00003880,Закладной лист. 5х1500х2000мм,шт,
,00-00003881,Закладной лист. 8х1500х2000мм,шт,
,00-00003882,Закладной лист. 5х400х400мм,шт,
,00-00003883,Сальник металь 50,мт,
,00-00003884,Сальник металь 20,мт,
,00-00003885,Клипсы диам 100,шт,
,00-00003886,Труба канализационая 50мм 1м,шт,
,00-00003887,"Профнастиль гофрированный №57 тольшина 0,7мм длина 12,4м",п/м,
,00-00003888,"Канёк 0,53 цинк ТМЗ 0,5 №4831",п/м,
,00-00003889,"Погружной дренажный насос QDX8-18-0,75 Versoin K1",шт,
,00-00003890,"Блок автоматического управления насосом GFAm20K V3-M1-1,0/6L1-C ""GRANDFAR""",шт,
,00-00003891,"PWBH005 Конечный шланг стрелы бетон-са ""5"" х6m",шт,
,00-00003892,Ром Термо Акфа 2450х1360,шт,
,00-00003893,Саморез Кировилни ок 55х70,кг,
,00-00003894,Ремен В2150 (бру спец тех),шт,
,00-00003895,Строп (спец-техника),шт,
,00-00003896,"Уголок 30мм 2,0мм 11,7м",метр,
,00-00003897,Отбойник перфоратор Epa EOM-25-1 1500 VAT,шт,
,00-00003898,Шланг для полива 40мм  30м,метр,
,00-00003899,Электрод УОНИ RASSYA E SAB 4 (пачка 5кг),почка,
,00-00003900,SHTATIV LAZER URVENNI OYOGI [30],шт,
,00-00003901,Пропан горелка,шт,
,00-00003902,Кабель АВВГ 4х10,мт,
,00-00003903,Кабель Сип 4х16 ,метр,
,00-00003904,Изолента Резина 5м,шт,
,00-00003905,Наконечник №95 мис ,шт,
,00-00003906,Автомат NM 160А,шт,
,00-00003907,Табличка для квартира дом №1,шт,
,00-00003908,Термоусадочная трубка 400мм,шт,
,00-00003909,Щит 1200х800,шт,
,00-00003910,Пк,шт,
,00-00003911,Наконечник №150 ,шт,
,00-00003912,Наконечник №60 ,шт,
,00-00003913,Пропан заправка ,литр,
,00-00003914,Кранштейн метал 500мм,шт,
,00-00003915,Релин (фора),м2,
,00-00003916,Клей хамокол 28кг,шт,
,00-00003917,Труба канализационный ПВХ 100мм 2м,шт,
,00-00003918,AGRAF MASTER,кг,
,00-00003919,ALBASTR 20,кг,
,00-00003920,Обогреватель маслинный Oil Heater YL-B57-1,шт,
,00-00003921,Фильтр ключ,шт,
,00-00003922,Фанер 1525х1525х8мм,шт,
,00-00003923,Канализация ЛЮК д60,шт,
,00-00003924,Канализация ЛЮК 60х60,шт,
,00-00003925,"Кабель ПУГНП 2х1,8мм2",метр,
,00-00003926,жалюзи для акфа,шт,
,00-00003927,Металлический хомут  лехкий  155-163 ,шт,
,00-00003928,Металлический хомут  лехкий  110-119 ,шт,
,00-00003929,Металлический хомут  лехкий  75-84 ,шт,
,00-00003930,Металлический хомут  лехкий  48-52 ,шт,
,00-00003931,Металлический хомут  лехкий  86-91 ,шт,
,00-00003932,Масло ECTOCADA (9987) FLIESSFEIT LI-EP 18л (спец.техника),литр,
,00-00003933,Полуотвод из ппр 20мм,шт,
,00-00003934,Колокол для дробилка ,к-т,
,00-00003935,"Гидроизоляция ЭКП-5,0мм (1-рулон 10м2) (Полизол)",м2,
,00-00003936,ППИ-П10х100 (синтефон без фолга),м2,
,00-00003937,"Кафель Плитки керамогранит 1200х600х2  (пачка 1,44м2) А1",м2,
,00-00003938,"Кафель Плитки керамогранит 1200х600х2  (пачка 1,44м2) А3",м2,
,00-00003939,"Кафель Плитки керамогранит 1200х600х2  (пачка 1,44м2) А2",м2,
,00-00003940,ZLPN230 Прошень бетоноподающий DN230 (ZL) Piston,шт,
,00-00003941,SANP200 Комплект комбин. уплот-й для поршня DN200,шт,
,00-00003942,ZLSK260 Комлект комбин. уплот-й для фланца меш,шт,
,00-00003943,CR200KP Износостойкое кольцо (трения) (КР) двойной,шт,
,00-00003944,"Резина прокладка для натяж, кольца d=230",шт,
,00-00003945,Компрессор MAKUTA 50Л,шт,
,00-00003946,Насадка головка  10мм,шт,
,00-00003947,Туманка Диёдный лампа,шт,
,00-00003948,ричак скорост,шт,
,00-00003949,Реле поворот,шт,
,00-00003950,Ремен СВ5300 (бру спец тех),шт,
,00-00003951,Ручной металлодетектор,шт,
,00-00003952,Краска аэрозоль цвет белый AYRAZOL OQ 4 [12],шт,
,00-00003953,Паласа для винтелационный система,п/м,
,00-00003954,"Thermotech XPS.3см ""1-почка 13-шт (Пеноплекс аналог)",шт,
,00-00003955,Батарейка для фанара оригиналь,шт,
,00-00003956,Блокпитания 12v/2A,шт,
,00-00003957,Штекир лан CAT6 (интернет) CAT6 оригинал,шт,
,00-00003958,Соидинител для CAT6 интернет оригинал,шт,
,00-00003959,"Кафель Плитки керамогранит 1200х600х2  (пачка 1,44м2) А4",м2,
,00-00003960,Автомат NM 80А,шт,
,00-00003961,Автомат 25А,шт,
,00-00003962,"Гидроизоляция Berk Membrane ТПП 3,0мм (Полизол) 1-рулон 10м2",м2,
,00-00003963,Гипсокартон  GLORY2500*1200*9.0 H2 (1-шт 3 м2),м2,
,00-00003964,Металический Дверь Китай Steell Door YJ-337-3 1200*2050*70 (R),шт,
,00-00003965,Металический Дверь Китай Steell Door YJ-337-3 1200*2050*70 (L),шт,
,00-00003966,Металический Дверь Китай Steell Door YJ-2031 960*2050*70 (R),шт,
,00-00003967,Металический Дверь Китай Steell Door YJ-2031 960*2050*70 (L),шт,
,00-00003968,Металический Дверь Китай Steell Doors Dooremy 70 860*2050*70 (R),шт,
,00-00003969,Металический Дверь Китай Steell Doors Dooremy 70 860*2050*70 (R),шт,
,00-00003970,Тройник переходник диам 32-25-32,шт,
,00-00003971,Шаровой кран 32 V2,шт,
,00-00003972,Клещи зажимные,шт,
,00-00003973,Тройник диам 76х4 металический,шт,
,00-00003974,Кабель АВВГ 4х120,метр,
,00-00003975,Автомат NM 40А,шт,
,00-00003976,Автомат DC 2P 40А,шт,
,00-00003977,Автомат АC 2P 63А,шт,
,00-00003978,25A 1000V DC 1P 10x38 Термальный предохранитель Солнечной энергии Фотоэлектрическая система Автоматический предохранитель,шт,
,00-00003979,Держатель предохранителя постоянного тока 1000В 10х38мм 2П 32А 10кА,шт,
,00-00003980,Кабель 1х6 DC1500V,метр,
,00-00003981,Кабель Пугв 1х10 АC1500V,метр,
,00-00003982,Mc4 коннектор папа/мама,шт,
,00-00003983,Электрический труборез VOLL V-CUT 400E 2.80400,шт,
,00-00003984,Щит 1-60х30,шт,
,00-00003985,Щит 150-1-30,шт,
,00-00003986,Труба ПЭТ 20мм (50м),метр,
,00-00003987,Труба ПЭТ 32мм (50м),метр,
,00-00003988,Анкерный болть 8х10х120 [600],шт,
,00-00003989,Анкерный болть 8х10х150 [600],шт,
,00-00003990,Перфаратор BOSCH 880w 32,шт,
,00-00003991,Дрель BOSCH 750W,шт,
,00-00003992,Болгарка CRown 180мм,шт,
,00-00003993,Тройник переходник диам 75-40-75,шт,
,00-00003994,Тройник переходник диам 75-50-75,шт,
,00-00003995,Шаровой кран 90 ППР ЕСО,шт,
